greV,greQ,greA,cgpa,univName
159,168,4,0.815,SUNY Stony Brook
130,165.9574468,4,0.85,SUNY Stony Brook
130,170.212766,3,0.73,SUNY Stony Brook
136.1702128,170.212766,3.5,0.75,SUNY Stony Brook
154,163,3.5,0.74,SUNY Stony Brook
130,148.9361702,4.5,0.65,SUNY Stony Brook
150,162,0,0.815,SUNY Stony Brook
130,165.9574468,3.5,0.7,SUNY Stony Brook
130,159.5744681,3,0.74,SUNY Buffalo
130,151.0638298,3,0.705,SUNY Buffalo
152,160,3.5,0.76,SUNY Buffalo
151,163,4,0.76,SUNY Buffalo
130,159.5744681,3,0.85,SUNY Buffalo
130,157.4468085,3.5,0.6839,SUNY Buffalo
150,167,3.5,0.69,SUNY Buffalo
146,157,3,0.71,SUNY Buffalo
130,165.9574468,4,0.7182,SUNY Buffalo
130,159.5744681,4,0.73,SUNY Buffalo
140.4255319,161.7021277,4,0.71,SUNY Buffalo
130,170.212766,3.5,0.82,SUNY Buffalo
152,164,3.5,0.831,SUNY Buffalo
144,165,3,0.775,SUNY Buffalo
159,168,4,0.815,SUNY Buffalo
134.0425532,163.8297872,4,0.955,SUNY Buffalo
130,163.8297872,3,0.9175,SUNY Buffalo
147,162,3,0.79,SUNY Buffalo
145,166,3,0.77,SUNY Buffalo
25,50,6,0.7424,SUNY Buffalo
130,155.3191489,4,0.76,SUNY Buffalo
159,162,4,0.736,SUNY Buffalo
130,153.1914894,3,0.7064,SUNY Buffalo
146,164,3.5,0.85,SUNY Buffalo
130,170.212766,2.5,0.81,SUNY Buffalo
154,160,3,0.75,SUNY Buffalo
151,163,3.5,0.71,SUNY Buffalo
130,161.7021277,3.5,0.75,SUNY Buffalo
139,164,3,0.81,SUNY Buffalo
130,165.9574468,3,0.833,SUNY Buffalo
152,160,3,0.693,SUNY Buffalo
155,160,3.5,0.71,SUNY Buffalo
153,161,4,0.748,SUNY Buffalo
34,46,5.5,0.726,SUNY Buffalo
130,170.212766,3,0.68,SUNY Buffalo
130,159.5744681,4,0.72,SUNY Buffalo
150,162,0,0.815,SUNY Buffalo
130,157.4468085,4,0.66,SUNY Buffalo
145,155,2.5,0.6679,SUNY Buffalo
150,170,4,0.6387,SUNY Buffalo
144,164,2.5,0.76,SUNY Buffalo
157,165,3.5,0.7,SUNY Buffalo
34,44,0,0.7092,SUNY Buffalo
136.1702128,161.7021277,4.5,0.79,Rutgers University New Brunswick/Piscataway
150,165,3.5,0.82,Rutgers University New Brunswick/Piscataway
154,163,3.5,0.74,Rutgers University New Brunswick/Piscataway
159,159,4,0.7743,Rutgers University New Brunswick/Piscataway
154,162,3.5,0.79,Rutgers University New Brunswick/Piscataway
147,165,3.5,0.71,Rutgers University New Brunswick/Piscataway
156,147,3,0,Purdue University
144.6808511,159.5744681,4,0,Purdue University
130,165.9574468,3,0.78,Purdue University
148,163,4,0.828,Purdue University
142.5531915,161.7021277,3.5,0.78,Ohio State University Columbus
130,165.9574468,3.5,0.8275,Ohio State University Columbus
150,159,3.5,0.71,Northeastern University
130,159.5744681,3,0.74,Northeastern University
152,160,3.5,0.76,Northeastern University
130,153.1914894,3,0.62,Northeastern University
130,155.3191489,3,0.74,Northeastern University
130,165.9574468,4,0.7182,Northeastern University
149,156,3,0.78,Northeastern University
153,157,3,0.75,Northeastern University
156,166,3.5,0.63,Northeastern University
147,158,3,0.675,Northeastern University
130,170.212766,3.5,0.79,Northeastern University
144,159,3.5,0.7441,Northeastern University
130,159.5744681,3,0.72,Northeastern University
149,161,3.5,0.6544,Northeastern University
153,162,3.5,0.7,Northeastern University
148,158,2.5,0.7,Northeastern University
147,158,3,0.68,Northeastern University
145,158,3,0.8317,Northeastern University
130,159.5744681,3.5,0.78,Northeastern University
130,191.4893617,2.5,0.65,Northeastern University
130,131.9148936,3,0,Northeastern University
130,148.9361702,3.5,0.6,Northeastern University
130,157.4468085,3.5,0.69,Northeastern University
148,162,3,0.636,Northeastern University
152,161,4,0.71,Northeastern University
152,158,3,0.764,Northeastern University
153,150,2.5,0.701,Northeastern University
151,163,3.5,0.634,Northeastern University
130,161.7021277,4,0.72,Northeastern University
130,170.212766,3.5,0,Northeastern University
139,162,3,0.7135,Northeastern University
147,165,3.5,0.71,Northeastern University
157,165,3.5,0.73,North Carolina State University
163,166,3.5,0.823,North Carolina State University
140.4255319,170.212766,3.5,0.76,North Carolina State University
130,170.212766,3.5,0.79,North Carolina State University
130,170.212766,3.5,0.82,North Carolina State University
152,164,3.5,0.831,North Carolina State University
148,160,3.5,0.8,North Carolina State University
130,170.212766,4,0.814,North Carolina State University
160,170,4.5,0.892,North Carolina State University
161.7021277,170.212766,4,0.74,North Carolina State University
154,163,3.5,0.8364,North Carolina State University
159,168,4,0.815,North Carolina State University
144.6808511,170.212766,4,0.793,North Carolina State University
151,162,4.5,0.81,North Carolina State University
130,165.9574468,2.5,0.783,North Carolina State University
153,167,3.5,0.86,North Carolina State University
130,170.212766,4,0.74,North Carolina State University
130,170.212766,3,0.73,North Carolina State University
159,162,4,0.736,North Carolina State University
130,170.212766,3.5,0.84,North Carolina State University
136.1702128,170.212766,3,0.798,North Carolina State University
130,170.212766,2.5,0.81,North Carolina State University
154,160,3,0.75,North Carolina State University
152,164,3,0.78,North Carolina State University
130,170.212766,3,0.806,North Carolina State University
140.4255319,168.0851064,4,0.72,North Carolina State University
130,165.9574468,3,0,North Carolina State University
159,159,4,0.7743,North Carolina State University
151,163,3,0.8,North Carolina State University
152,164,3,0.76,North Carolina State University
151.0638298,161.7021277,3.5,0.635,North Carolina State University
150,170,4,0.6387,North Carolina State University
130,170.212766,3.5,0.84,North Carolina State University
146,164,3,0.7833,New York University
151,162,3.5,0.7,New York University
162,162,4,0.67,New York University
139,136,1.5,0.602,New York University
144,159,2.5,0.6445,New Jersey Institute of Technology
144,155,2.5,0.68,New Jersey Institute of Technology
150,158,3,0.708,New Jersey Institute of Technology
143,157,3,0.75,New Jersey Institute of Technology
130,148.9361702,2,0.7,New Jersey Institute of Technology
141,158,2.5,0.72,New Jersey Institute of Technology
141,158,3.5,0.7256,New Jersey Institute of Technology
145,155,3,0.685,New Jersey Institute of Technology
130,148.9361702,3,0,New Jersey Institute of Technology
130,165.9574468,3.5,0.67,New Jersey Institute of Technology
149,155,3,0.635,New Jersey Institute of Technology
130,153.1914894,4.5,0.67,New Jersey Institute of Technology
145,155,2.5,0.69,New Jersey Institute of Technology
130,161.7021277,4.5,0.82,New Jersey Institute of Technology
146,156,3,0.5817,New Jersey Institute of Technology
130,168.0851064,3.5,0.7,New Jersey Institute of Technology
142,155,3.5,0.601,New Jersey Institute of Technology
130,151.0638298,3.5,0.6617,New Jersey Institute of Technology
130,153.1914894,2.5,0.7,New Jersey Institute of Technology
146,148,3,0.75,Johns Hopkins University
130,170.212766,3,0.7738,Georgia Institute of Technology
140.4255319,161.7021277,4,0.71,Georgia Institute of Technology
130,155.3191489,4,0.76,Georgia Institute of Technology
130,151.0638298,3.5,0.62,George Mason University
130,153.1914894,3,0.62,George Mason University
130,159.5744681,2.5,0.728,George Mason University
130,163.8297872,3.5,0.7,George Mason University
130,148.9361702,3,0.75,George Mason University
130,155.3191489,3,0.73,George Mason University
156,166,3.5,0.63,George Mason University
144,159,3.5,0.7441,George Mason University
143,157,3,0.75,George Mason University
145,158,3.5,0.6656,George Mason University
141,167,2.5,0.678,George Mason University
144,165,3,0.775,George Mason University
130,161.7021277,3,0.67,George Mason University
152,158,3,0.62,George Mason University
150,160,3,0.7792,George Mason University
139,156,3,0.67,George Mason University
142,162,2,0.64,George Mason University
130,168.0851064,3.5,0.82,George Mason University
146,161,3,0.77,George Mason University
146,160,3.5,0.765,George Mason University
137,130,158,0.7688,George Mason University
130,165.9574468,3,0.78,George Mason University
130,151.0638298,2.5,0.6127,George Mason University
130,159.5744681,2.5,0.75,George Mason University
149,163,3.5,0.783,George Mason University
147,160,3.5,0.795,George Mason University
152,160,3.5,0.689,George Mason University
156,161,4,0.68,George Mason University
143,157,3,0.75,George Mason University
130,168.0851064,3.5,0.64,George Mason University
147,166,3,0.6544,George Mason University
144.6808511,159.5744681,4,0,Cornell University
130,170.212766,4,0.905,Cornell University
159,168,4,0.815,Columbia University
130,170.212766,4,0.905,Columbia University
155,160,3.5,0.71,Columbia University
130,165.9574468,3,0.6627,Clemson University
130,161.7021277,3.5,0.68,Clemson University
136.1702128,161.7021277,4.5,0.79,Clemson University
130,153.1914894,3,0.62,Clemson University
130,170.212766,3.5,0.74,Clemson University
130,170.212766,4,0.74,Clemson University
130,161.7021277,3,0,Clemson University
130,165.9574468,4.5,0.67,Clemson University
152,161,4,0.71,Clemson University
154,162,3.5,0.7411,Clemson University
148,156,4,0.7058,Clemson University
130,151.0638298,3,0.75,Clemson University
136.1702128,151.0638298,3,0.73,Carnegie Mellon University
154,170,4,0.9925,Carnegie Mellon University
142.5531915,170.212766,5,0.859,Carnegie Mellon University
161,157,4.5,0.9875,Carnegie Mellon University
31,50,4.5,0.68,Carnegie Mellon University
158,161,4,0.78,Carnegie Mellon University
149,155,4.5,0.66,Carnegie Mellon University
157,162,4,0.702,Carnegie Mellon University
147,158,3,0.8,Arizona State University
140.4255319,170.212766,3.5,0.76,Arizona State University
152,159,4,0.8275,Arizona State University
130,170.212766,3.5,0.82,Arizona State University
152,164,3.5,0.831,Arizona State University
165,167,0,0.78,Arizona State University
130,170.212766,2,0.73,Arizona State University
136.1702128,161.7021277,4.5,0.79,Arizona State University
130,170.212766,4,0.814,Arizona State University
146,170,3.5,0.878,Arizona State University
145,159,3,0.7325,Arizona State University
148,163,3,0.8,Arizona State University
130,165.9574468,4,0.85,Arizona State University
130,168.0851064,3.5,0.787,Arizona State University
151,170,3.5,0.73,Arizona State University
149,163,3,0.726,Arizona State University
140,159,2.5,0.63,Arizona State University
150,165,3.5,0.76,Arizona State University
151,159,3,0.7845,Arizona State University
139,164,3,0.7444,Arizona State University
130,163.8297872,4,0.831,Arizona State University
142.5531915,161.7021277,3.5,0.78,Arizona State University
130,170.212766,3,0.73,Arizona State University
130,163.8297872,3.5,0.848,Arizona State University
155,130,163,0.8612,Arizona State University
130,168.0851064,3.5,0.81,Arizona State University
130,155.3191489,4,0.76,Arizona State University
130,170.212766,3.5,0.84,Arizona State University
149,162,3,0.73,Arizona State University
130,168.0851064,2.5,0.77,Arizona State University
142,157,3,0.73,Arizona State University
146,163,4,0.7009,Arizona State University
130,170.212766,2.5,0.81,Arizona State University
142,162,3,0.72,Arizona State University
146,159,3.5,0.826,Arizona State University
130,170.212766,2,0.7,Arizona State University
130,170.212766,2.5,0.761,Arizona State University
152,164,3,0.78,Arizona State University
130,165.9574468,3,0,Arizona State University
146,163,3,0.7918,Arizona State University
159,159,4,0.7743,Arizona State University
150,159,3,0.6748,Arizona State University
149,155,3.5,0.66,Arizona State University
130,170.212766,4,0.7034,Arizona State University
151,163,3,0.8,Arizona State University
144,165,3,0.797,Arizona State University
147,160,3.5,0.795,Arizona State University
144,155,22,0.9,Arizona State University
156,161,4,0.68,Arizona State University
152,165,3,0.815,Arizona State University
130,161.7021277,3.5,0.7395,Arizona State University
130,168.0851064,3,0.771,Arizona State University
130,170.212766,3.5,0.84,Arizona State University
143,163,3,0.68,Arizona State University
157,165,3.5,0.7,Arizona State University
149,159,3.5,0.7856,Arizona State University
130,170.212766,3.5,0.75,Arizona State University
149,154,4,0.625,Arizona State University
130,170.212766,3.5,0.69,Syracuse University
130,170.212766,3.5,0.69,New York University
130,170.212766,3.5,0.69,New Jersey Institute of Technology
147,164,3.5,0.67,University of Southern California
147,164,3.5,0.67,Arizona State University
158,157,4,0.7104,Wayne State University
160,166,3.5,0.8472,Virginia Polytechnic Institute and State University
143,158,3,0.723,University of Texas Dallas
153,157,3,0,University of Texas Dallas
150,158,4,0.8178,University of Texas Dallas
150,163,3.5,0.76,University of Texas Dallas
147,165,3,0.69,University of Texas Dallas
148,160,3.5,0.69,University of Texas Arlington
130,283.8297872,4,0.732,University of Southern California
130,283.8297872,4,0.732,University of Pennsylvania
155,165,3,0.65,University of North Carolina Charlotte
158,157,4,0.7104,University of Maryland College Park
153,163,3,0.69,University of Illinois Chicago
160,166,3.5,0.8472,University of Florida
152,168,0,0.7,University of Florida
157,162,3,0.611,University of Florida
145,164,0,0,University of California Los Angeles
158,164,3.5,0.65,Texas A and M University College Station
153,163,3,0.69,Syracuse University
150,156,3,0.6,Syracuse University
150,163,4,0.7753,SUNY Stony Brook
130,161.7021277,4.5,0.71,SUNY Stony Brook
147,162,3.5,0.714,SUNY Buffalo
149,164,4,0.8138,SUNY Buffalo
153,163,3,0.69,SUNY Buffalo
150,158,4,0.8178,SUNY Buffalo
145,161,3.5,0,SUNY Buffalo
157,162,3,0.611,SUNY Buffalo
150,163,4,0.7753,Rutgers University New Brunswick/Piscataway
159,168,4.5,0.78,Rutgers University New Brunswick/Piscataway
150,163,4,0.7753,Northeastern University
143,158,3,0.76,Northeastern University
150,156,3,0.6,Northeastern University
155,165,3,0.65,North Carolina State University
160,166,3.5,0.8472,North Carolina State University
145,161,3.5,0,North Carolina State University
145,161,3.5,0,New York University
152,168,0,0.7,New York University
158,168,4,0.767,Georgia Institute of Technology
130,283.8297872,4,0.732,Georgia Institute of Technology
155,165,3,0.65,Arizona State University
147,162,3.5,0.714,Arizona State University
164,165,4,0.72,University of Utah
164,165,4,0.72,SUNY Buffalo
154,159,3.5,0.67,SUNY Buffalo
164,165,4,0.72,Ohio State University Columbus
164,165,4,0.72,Cornell University
164,165,4,0.72,Arizona State University
154,159,3.5,0.67,Arizona State University
130,168.0851064,3,0.74,University of Texas Dallas
130,168.0851064,3,0.74,Ohio State University Columbus
130,168.0851064,3,0.74,Clemson University
130,168.0851064,3,0.74,Arizona State University
130,136.1702128,4,0.8,University of Southern California
130,136.1702128,4,0.8,North Carolina State University
152,161,4,0.798,University of Minnesota Twin Cities
148,161,3,0.7284,University of Utah
148,161,3,0.7284,Arizona State University
148,155,4,0.65,University of Arizona
148,155,4,0.65,Syracuse University
145,158,3,0.52,New Jersey Institute of Technology
155,168,3.5,0.796,University of Florida
155,168,3.5,0.796,SUNY Buffalo
152,168,3,0.69,University of North Carolina Charlotte
149,159,3.5,0.72,Northeastern University
149,159,3.5,0.72,Arizona State University
130,170.212766,4,0.75,University of Southern California
148,158,3,0.82,University of Illinois Chicago
34,49,4.5,0.72,University of Cincinnati
152,160,3.5,0.71,SUNY Buffalo
148,158,3,0.82,SUNY Buffalo
36,49,5,0.62,SUNY Buffalo
152,161,4,0.8,Northeastern University
152,161,4,0.8,New York University
148,158,3,0.82,New Jersey Institute of Technology
36,49,5,0.62,Carnegie Mellon University
130,170.212766,4,0.75,Carnegie Mellon University
131.9148936,161.7021277,3,0.86,Virginia Polytechnic Institute and State University
131.9148936,161.7021277,3,0.86,University of Michigan Ann Arbor
131.9148936,161.7021277,3,0.86,Purdue University
130,170.212766,4,0.624,Wayne State University
130,168.0851064,5.5,0.7314,Wayne State University
130,148.9361702,2.5,0.824,Wayne State University
130,168.0851064,5.5,0.7314,Virginia Polytechnic Institute and State University
158,130,161,0.78,University of Wisconsin Madison
164,161,4,0.7,University of Washington
130,159.5744681,4.5,0.69,University of Utah
130,170.212766,4,0.624,University of Utah
145,158,4,0.65,University of Texas Dallas
130,163.8297872,3,0.6,University of Texas Dallas
136.1702128,161.7021277,3.5,0.686,University of Texas Dallas
156,156,3.5,0.66,University of Texas Dallas
160,164,4.5,0.745,University of Texas Dallas
148,160,3.5,0,University of Texas Dallas
147,162,3.5,0.64,University of Texas Dallas
130,170.212766,4,0.624,University of Texas Dallas
130,157.4468085,3,0.67,University of Texas Dallas
130,168.0851064,3,0.7,University of Texas Dallas
152,159,4,0.55,University of Texas Dallas
150,165,3.5,0.63,University of Texas Dallas
156,163,4,0.6352,University of Texas Dallas
130,168.0851064,3,0.61,University of Texas Dallas
130,146.8085106,2.5,0.73,University of Texas Dallas
130,170.212766,3,0.73,University of Texas Dallas
151,167,3,0.65,University of Texas Dallas
144,163,3,0.66,University of Texas Dallas
130,163.8297872,3,0.66,University of Texas Dallas
130,159.5744681,4,0,University of Texas Dallas
150,162,3.5,0.656,University of Texas Dallas
130,168.0851064,3.5,0.7,University of Texas Austin
130,163.8297872,3,0.6,University of Texas Arlington
148,160,3.5,0,University of Texas Arlington
148,158,4,0.58,University of Texas Arlington
130,155.3191489,3.5,0.69,University of Texas Arlington
130,170.212766,4,0.624,University of Texas Arlington
130,165.9574468,3,0.6345,University of Texas Arlington
130,168.0851064,3,0.7,University of Texas Arlington
155,161,3.5,0.7,University of Texas Arlington
146,157,4,0.65,University of Texas Arlington
130,163.8297872,3,0.66,University of Texas Arlington
146,164,3,0.62,University of Texas Arlington
130,159.5744681,4.5,0.69,University of Southern California
136.1702128,161.7021277,3.5,0.686,University of Southern California
154,166,3,0.69,University of Southern California
130,170.212766,2.5,0.7222,University of Southern California
130,165.9574468,3,0.6345,University of Southern California
146,167,3,0.6917,University of Southern California
159,166,3,0.72,University of Southern California
155,161,3.5,0.7,University of Southern California
161,165,4,0.7,University of Southern California
130,168.0851064,5.5,0.7314,University of Southern California
134.0425532,161.7021277,4,0.7,University of Pennsylvania
148.9361702,170.212766,4.5,0.7538,University of Pennsylvania
130,170.212766,4,0.624,University of North Carolina Charlotte
130,165.9574468,3,0.6345,University of North Carolina Charlotte
130,170.212766,2.5,0.62,University of North Carolina Charlotte
130,146.8085106,2.5,0.73,University of North Carolina Charlotte
144,163,3,0.66,University of North Carolina Charlotte
130,165.9574468,3,0.53,University of North Carolina Charlotte
150,161,3.5,0.7421,University of North Carolina Charlotte
130,168.0851064,3,0.7066,University of Minnesota Twin Cities
146,164,3,0.62,University of Massachusetts Amherst
150,161,3.5,0.7421,University of Massachusetts Amherst
130,146.8085106,3,0.5973,University of Maryland College Park
152,161,3.5,0.64,University of Maryland College Park
152,160,3.5,0.73,University of Maryland College Park
161,164,4,0.6548,University of Maryland College Park
158,165,4.5,0.592,University of Maryland College Park
130,170.212766,3,0.7512,University of Illinois Urbana-Champaign
156,156,3.5,0.66,University of Illinois Chicago
152,161,4,0.72,University of Illinois Chicago
164,161,4,0.7,University of Illinois Chicago
158,170,4.5,0.61,University of Illinois Chicago
150,166,3,0.7214,University of Illinois Chicago
147,162,3.5,0.64,University of Illinois Chicago
31,46,0,0.62,University of Illinois Chicago
130,170.212766,2.5,0.7222,University of Illinois Chicago
145,159,3,0.73,University of Illinois Chicago
130,170.212766,2.5,0.62,University of Illinois Chicago
147,159,3,0.675,University of Illinois Chicago
151,159,3.5,0.72,University of Illinois Chicago
152,162,3.5,0.58,University of Illinois Chicago
144,167,0,0.06,University of Illinois Chicago
156,163,4,0.6352,University of Illinois Chicago
140.4255319,155.3191489,3.5,0,University of Illinois Chicago
130,161.7021277,0,0.64,University of Illinois Chicago
130,170.212766,3,0.73,University of Illinois Chicago
144,163,3,0.66,University of Illinois Chicago
151,161,3.5,0.6,University of Illinois Chicago
152,161,3,0.66,University of Florida
130,170.212766,3,0.7512,University of Florida
156,156,3.5,0.66,University of Florida
152,161,3.5,0.64,University of Florida
151,167,3,0.65,University of Florida
161,165,4,0.7,University of Florida
159.5744681,168.0851064,4,0.66,University of Florida
140.4255319,168.0851064,3.5,0.65,University of Florida
155,165,4,0.64,University of Colorado Boulder
130,161.7021277,0,0.64,University of Colorado Boulder
152,160,3.5,0.73,University of Colorado Boulder
161,166,3.5,0.67,University of Colorado Boulder
161,164,4,0.6548,University of Colorado Boulder
158,165,4.5,0.592,University of Colorado Boulder
130,170.212766,3,0.62,University of Colorado Boulder
151,166,3,0,University of Colorado Boulder
151,161,3.5,0.6,University of Colorado Boulder
130,168.0851064,3,0.66,University of Cincinnati
156,156,3.5,0.66,University of Cincinnati
152,161,4,0.72,University of Cincinnati
164,161,4,0.7,University of Cincinnati
150,166,3,0.7214,University of Cincinnati
130,161.7021277,0,0.64,University of Cincinnati
130,253.1914894,3,0.55,University of Cincinnati
144,163,3,0.66,University of Cincinnati
160,164,4.5,0.745,University of California Los Angeles
130,170.212766,3,0.7512,University of California Irvine
160,164,4.5,0.745,University of California Irvine
156,156,3.5,0.66,University of Arizona
164,161,4,0.7,University of Arizona
147,162,3.5,0.64,University of Arizona
31,46,0,0.62,University of Arizona
156,163,4,0.6352,University of Arizona
130,253.1914894,3,0.55,University of Arizona
130,165.9574468,3.5,0.702,Texas A and M University College Station
130,159.5744681,4.5,0.69,Syracuse University
156,156,3.5,0.66,Syracuse University
164,161,4,0.7,Syracuse University
158,170,4.5,0.61,Syracuse University
130,157.4468085,3,0.67,Syracuse University
146,167,3,0.6917,Syracuse University
156,163,4,0.6352,Syracuse University
130,168.0851064,3,0.61,Syracuse University
130,170.212766,3,0.73,Syracuse University
130,170.212766,4.5,0.67,Syracuse University
130,168.0851064,3,0.66,SUNY Stony Brook
130,165.9574468,4.5,0.714,SUNY Stony Brook
160,164,4.5,0.745,SUNY Stony Brook
130,170.212766,3,0.73,SUNY Stony Brook
161,165,4,0.7,SUNY Stony Brook
130,165.9574468,4.5,0.714,SUNY Buffalo
160,164,4.5,0.745,SUNY Buffalo
152,161,4,0.72,SUNY Buffalo
147,162,3.5,0.64,SUNY Buffalo
31,46,0,0.62,SUNY Buffalo
130,170.212766,3.5,0.63,SUNY Buffalo
159,166,3,0.72,SUNY Buffalo
153,159,4,0.62,SUNY Buffalo
151,162,2.5,0.71,SUNY Buffalo
130,253.1914894,3,0.55,SUNY Buffalo
159.5744681,168.0851064,4,0.66,SUNY Buffalo
130,168.0851064,5.5,0.7314,SUNY Buffalo
131.9148936,168.0851064,0,0.65,SUNY Buffalo
130,148.9361702,2.5,0.824,SUNY Buffalo
130,157.4468085,3,0.67,Rutgers University New Brunswick/Piscataway
152,160,3.5,0.73,Rutgers University New Brunswick/Piscataway
130,165.9574468,3,0.56,Rutgers University New Brunswick/Piscataway
158,170,4.5,0.61,Purdue University
150,163,3.5,0.66,Northeastern University
130,165.9574468,4.5,0.714,Northeastern University
141,160,0,0.656,Northeastern University
147,162,3.5,0.64,Northeastern University
150,159,3.5,0.58,Northeastern University
130,155.3191489,3.5,0.69,Northeastern University
153,161,4.5,0.61,Northeastern University
152,159,4,0.55,Northeastern University
147,163,3,0.62,Northeastern University
130,155.3191489,3,0.7,Northeastern University
130,170.212766,3,0.73,Northeastern University
142,158,3,0.58,Northeastern University
161,166,3.5,0.67,Northeastern University
130,168.0851064,5.5,0.7314,Northeastern University
130,153.1914894,3.5,0.61,Northeastern University
130,159.5744681,4,0,Northeastern University
130,159.5744681,4.5,0.69,North Carolina State University
130,165.9574468,4.5,0.714,North Carolina State University
130,170.212766,3,0.7512,North Carolina State University
136.1702128,161.7021277,3.5,0.686,North Carolina State University
154,166,3,0.69,North Carolina State University
130,170.212766,3,0.73,North Carolina State University
152,164,3.5,0.75,North Carolina State University
161,165,4,0.7,North Carolina State University
138.2978723,170.212766,4,0.67,North Carolina State University
159.5744681,168.0851064,4,0.66,North Carolina State University
130,168.0851064,5.5,0.7314,North Carolina State University
154,166,3.5,0.73,North Carolina State University
130,146.8085106,3.5,0.64,New York University
147,162,3.5,0.64,New York University
152,161,4,0.72,New Jersey Institute of Technology
130,168.0851064,3,0.7,New Jersey Institute of Technology
146,157,4,0.65,New Jersey Institute of Technology
130,168.0851064,5.5,0.7314,New Jersey Institute of Technology
130,170.212766,3,0.62,New Jersey Institute of Technology
130,168.0851064,3.5,0.7,Georgia Institute of Technology
130,159.5744681,4.5,0.69,Georgia Institute of Technology
134.0425532,161.7021277,4,0.7,Georgia Institute of Technology
161,164,4,0.6548,Georgia Institute of Technology
136.1702128,168.0851064,4,0.6,Georgia Institute of Technology
155,168,3.5,0.7526,Georgia Institute of Technology
130,168.0851064,3,0.7,George Mason University
138,152,4,0.67,George Mason University
130,170.212766,2.5,0.62,George Mason University
147,163,3,0.62,George Mason University
130,165.9574468,3,0.56,George Mason University
130,170.212766,4.5,0.67,George Mason University
161,166,3.5,0.67,Columbia University
130,168.0851064,3,0.66,Clemson University
130,157.4468085,3,0.6459,Clemson University
134.0425532,161.7021277,4,0.7,Clemson University
149,161,0,0.64,Clemson University
149,161,310,0.64,Clemson University
143,163,3.5,0.65,Clemson University
130,159.5744681,4,0,Clemson University
140.4255319,170.212766,4.5,0.67,Carnegie Mellon University
150,163,3.5,0.66,Arizona State University
130,170.212766,3,0.7512,Arizona State University
130,170.212766,4.5,0.72,Arizona State University
160,164,4.5,0.745,Arizona State University
158,170,4.5,0.61,Arizona State University
150,166,3,0.7214,Arizona State University
130,170.212766,3.5,0.63,Arizona State University
147,167,3.5,0.55,Arizona State University
155,161,3.5,0.7,Arizona State University
161,166,3.5,0.67,Arizona State University
138.2978723,170.212766,4,0.67,Arizona State University
146,161,3,0.912,Arizona State University
130,168.0851064,5.5,0.7314,Arizona State University
131.9148936,168.0851064,0,0.65,Arizona State University
130,155.3191489,4,0.66,Arizona State University
150,161,3.5,0.7421,Arizona State University
150,162,3.5,0.656,Arizona State University
144,161,3,0.666,Northeastern University
130,157.4468085,0,0,Syracuse University
130,157.4468085,0,0,Northeastern University
152,164,3.5,0.59,University of Texas Arlington
164,153,4,0.68,SUNY Buffalo
150,163,3.5,0.63,University of Southern California
130,170.212766,4,0.6,University of Southern California
130,170.212766,4,0.6,University of Illinois Urbana-Champaign
130,170.212766,4,0.6,University of Florida
130,170.212766,4,0.6,Texas A and M University College Station
35,50,5,0.73,University of Cincinnati
35,50,5,0.73,SUNY Buffalo
146,162,3,0.5723,Syracuse University
165,166,4,0.755,University of Colorado Boulder
165,166,4,0.755,SUNY Buffalo
130,165.9574468,3,0.75,University of Texas Dallas
130,165.9574468,3,0.75,University of Southern California
130,165.9574468,3,0.75,Northeastern University
130,170.212766,4,0.67,University of Texas Dallas
130,163.8297872,3,0.8,University of Texas Dallas
151,160,3,0.76,University of Southern California
130,163.8297872,3,0.8,University of North Carolina Charlotte
149,167,3.5,0.73,University of North Carolina Charlotte
148,164,3.5,0.883,University of Illinois Chicago
130,170.212766,4,0.67,University of Florida
150,161,3.5,0.93,University of Cincinnati
154,157,3,0.77,Syracuse University
130,170.212766,2.5,0.701,SUNY Buffalo
130,170.212766,4,0.67,Northeastern University
130,170.212766,2.5,0.701,Northeastern University
130,165.9574468,4,0.74,North Carolina State University
130,161.7021277,3,0.66,George Mason University
130,165.9574468,4,0.74,Arizona State University
130,168.0851064,3,0.82,Arizona State University
131.9148936,163.8297872,3,0.71,University of Illinois Chicago
150,165,3,0.775,Texas A and M University College Station
131.9148936,163.8297872,3,0.71,Texas A and M University College Station
131.9148936,163.8297872,3,0.71,Syracuse University
131.9148936,163.8297872,3,0.71,Carnegie Mellon University
148,161,4,0.72,University of Texas Dallas
148,161,4,0.72,Arizona State University
130,170.212766,3,0.867,University of Texas Dallas
130,170.212766,3,0.867,University of Florida
130,170.212766,3,0.867,SUNY Buffalo
148,157,3.5,0.74,Carnegie Mellon University
130,170.212766,3.5,0.8825,Columbia University
130,170.212766,3.5,0.8825,Carnegie Mellon University
156,165,4,0.9025,University of Texas Dallas
147,157,4,0.73,University of Texas Dallas
156,165,4,0.9025,University of Massachusetts Amherst
147,157,4,0.73,University of Maryland College Park
156,165,4,0.9025,University of Cincinnati
156,165,4,0.9025,Syracuse University
154,162,3.5,0.855,Arizona State University
153,159,3,0.73,University of Maryland College Park
153,159,3,0.73,University of Illinois Chicago
153,159,3,0.73,University of Arizona
146,168,3,0.9,SUNY Stony Brook
146,168,3,0.9,North Carolina State University
152,159,4,0.76,Cornell University
165,166,4,0.76,Virginia Polytechnic Institute and State University
154,162,4,0.071,University of Washington
156,161,4,0.995,University of Texas Dallas
156,161,4,0.995,University of Texas Arlington
